dataset,LID_mean,LID_std,isomap_residual,pca_first_10_sum,pca_90_percent_dims,geodesic_euclidean_corr,kpca_rbf_error,kpca_poly_error,kpca_sigmoid_error,autoencoder_error,nonlinearity_score
linear,10.346637237725801,3.7696995354236438,0.16347201425465585,0.9988433760321217,8,0.8689637997384154,0.21091507663373407,0.05063375903777455,0.2540746963154575,0.04652591422200203,3.176227759040722
polynomial,10.208576506951886,3.881841070512307,0.07149432085989293,0.861161875003606,12,0.9006138175963136,0.404344970353243,0.25281844207293974,0.43069940442256677,0.10187868028879166,3.1344552959779293
swiss_roll,2.6951561342728,0.991888429996066,0.0018500351372195967,0.9993511273622757,3,0.7108071503720187,0.09936515396071618,0.021030035270836706,0.08958944303549568,0.001515077892690897,0.8958044767252231
spiral,4.50901183695668,1.695230059751655,0.007412484536156061,0.999135717440997,5,0.8970333034507172,0.09355452438606804,0.0248256303806164,0.1429067062589,0.0031893765553832054,1.3852489134708206
extreme_nonlinear,12.89915539991562,4.828267904914863,0.13173222855356803,0.9500208532867378,9,0.8654642924127286,0.266473469188996,0.08842997867921924,0.3085229748412793,0.0895315632224083,3.9464496073042326
